,CIK,FILING_DATE,ACC_NUM
527,49600,20030513,0000049600-03-000008
528,49600,20030813,0000049600-03-000022
529,49600,20031112,0000049600-03-000025
530,49754,20030508,0001047469-03-017566
531,49754,20030807,0001047469-03-026600
532,49754,20031106,0001047469-03-036308
533,49826,20030515,0000049826-03-000016
534,49826,20030814,0000049826-03-000038
535,49938,20030512,0001047469-03-017926
536,49938,20030813,0000909567-03-000992
537,49938,20031112,0000909567-03-001237
538,50292,20030808,0000914317-03-002336
539,50292,20031107,0000914317-03-003355
540,50493,20030210,0000950144-03-001439
541,50493,20030808,0000950144-03-009548
542,50725,20030213,0000932214-03-000020
543,50725,20030812,0000932214-03-000112
544,50863,20030507,0001104659-03-008285
545,50863,20030806,0001104659-03-016885
546,50863,20031105,0001193125-03-072669
547,51143,20030514,0001047469-03-018510
548,51143,20030814,0001047469-03-027706
549,51253,20030513,0000950136-03-001204
550,51253,20030812,0000950136-03-001975
551,51253,20031112,0000950136-03-002763
552,51434,20030514,0000950117-03-002089
553,51434,20030814,0000950117-03-003610
554,51434,20031113,0000950117-03-004825
555,51548,20030411,0000925751-03-000133
556,51548,20030710,0000925751-03-000334
557,51548,20031010,0000925751-03-000390
558,51644,20030515,0001047469-03-018798
559,51644,20030814,0000051644-03-000018
560,51644,20031114,0000051644-03-000022
561,52827,20030509,0000931763-03-001437
562,52827,20030814,0001193125-03-038092
563,52988,20030213,0000898430-03-001456
564,52988,20030814,0001193125-03-037446
565,54187,20030313,0000054187-03-000002
566,54187,20031211,0000054187-03-000011
567,54381,20030507,0000054381-03-000107
568,54381,20030814,0000054381-03-000113
569,55067,20030509,0000055067-03-000168
570,55067,20030808,0000055067-03-000192
571,55067,20031107,0000055067-03-000251
572,55135,20030506,0000950131-03-002625
573,55135,20030806,0001193125-03-029693
574,55234,20030515,0001104659-03-010110
575,55234,20030813,0001104659-03-018032
576,55234,20031203,0001104659-03-027682
577,55242,20030214,0000950128-03-000233
578,55242,20031114,0000950128-03-001234
579,55529,20030314,0000950131-03-001363
580,55529,20030915,0001193125-03-049544
581,55529,20031215,0001193125-03-094246
582,55772,20030212,0000055772-03-000001
583,55772,20031104,0000055772-03-000012
584,55785,20030508,0000055785-03-000016
585,55785,20030807,0000055785-03-000056
586,55785,20031106,0000055785-03-000067
587,56047,20030509,0000950129-03-002583
588,56047,20030812,0000950129-03-004090
589,56047,20031112,0000950129-03-005543
590,56679,20030317,0000898430-03-001931
591,56679,20030915,0001193125-03-049672
592,56701,20030205,0000950134-03-001704
593,56701,20030508,0000950134-03-007377
594,56701,20031107,0000950134-03-014606
595,56868,20030515,0000056868-03-000001
596,56868,20030814,0000056868-03-000002
597,56868,20031114,0000056868-03-000003
598,56873,20030708,0001193125-03-017559
599,56978,20030214,0001021408-03-002892
600,56978,20030814,0001193125-03-037567
601,57131,20030211,0000057131-03-000004
602,57131,20030812,0000057131-03-000024
603,57131,20031110,0000057131-03-000038
604,57515,20030213,0000950152-03-001731
605,57515,20030514,0000950152-03-005449
606,57515,20031112,0000950152-03-009573
607,57725,20031113,0000950124-03-003624
608,58361,20030213,0001183010-03-000014
609,58361,20030514,0001183010-03-000031
610,58361,20030814,0001183010-03-000067
611,58492,20030514,0000950131-03-002877
612,58492,20031112,0001193125-03-078255
613,59255,20030513,0000059255-03-000017
614,59255,20030811,0000059255-03-000050
615,59255,20031114,0000059255-03-000055
616,59440,20030515,0000950144-03-006998
617,59440,20030814,0000950144-03-010073
618,59440,20031113,0000950144-03-012799
619,59478,20030508,0000950137-03-002717
620,59478,20030806,0000950137-03-004099
621,59478,20031112,0000950137-03-005842
622,59527,20030502,0000950152-03-005000
623,59527,20030815,0000950128-03-000956
624,59558,20030509,0000928816-03-000319
625,59558,20030808,0000928816-03-000511
626,60086,20030509,0000060086-03-000024
627,60086,20030808,0000060086-03-000032
628,60086,20031114,0000060086-03-000049
629,60519,20030502,0001104659-03-007964
630,60519,20030813,0001104659-03-018016
631,60667,20030613,0000060667-03-000099
632,60667,20030912,0000060667-03-000177
633,60714,20030509,0000060714-03-000014
634,60714,20030808,0000060714-03-000038
635,60714,20031110,0000060714-03-000054
636,61004,20030507,0000950135-03-002901
637,61004,20030814,0000950135-03-004411
638,61004,20031112,0000950135-03-005589
639,61398,20030213,0000061398-03-000002
640,61398,20031113,0000061398-03-000028
641,61986,20030512,0000061986-03-000029
642,61986,20030814,0000061986-03-000108
643,61986,20031114,0001104659-03-026595
644,62234,20030113,0000897069-03-000056
645,62234,20030414,0000897069-03-000450
646,62234,20031014,0000897069-03-001229
647,62362,20030213,0000950134-03-002426
648,62362,20030521,0000950134-03-008481
649,62362,20031114,0000950134-03-015442
650,62709,20030513,0000062709-03-000071
651,62709,20030814,0000062709-03-000120
652,62709,20031114,0000062709-03-000147
653,62996,20030509,0000950124-03-001620
654,62996,20030807,0000950137-03-004143
655,62996,20031106,0000950124-03-003462
656,63276,20030514,0000898430-03-002963
657,63276,20030814,0001193125-03-037934
658,63276,20031113,0001193125-03-079821
659,63296,20030213,0000063296-03-000006
660,63296,20030514,0000063296-03-000016
661,63296,20030812,0000063296-03-000022
662,63330,20030508,0000063330-03-000009
663,63330,20030813,0000063330-03-000019
664,63330,20031113,0000063330-03-000027
665,63754,20030411,0001104659-03-006328
666,63754,20030711,0001104659-03-014470
667,63754,20031014,0001104659-03-022728
668,63908,20030513,0001047469-03-018134
669,63908,20031107,0001047469-03-036401
670,64040,20030502,0000064040-03-000004
671,64040,20030731,0000064040-03-000012
672,64040,20031031,0000064040-03-000015
673,64463,20030515,0000064463-03-000051
674,64463,20030813,0000064463-03-000068
675,64472,20030214,0001045969-03-000396
676,64472,20030515,0001021408-03-007876
677,64803,20030512,0000927016-03-002556
678,64803,20031110,0001193125-03-076264
